# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=xom&t=monthly&p=us

Date,xom,cvx,land and farm,vtivx,commerce bank routing number,euro to $,moving pic,mainstay investments,highmark ppo,major lindsey,hancock retirement,core service,commerce bank routing,stor.com,video engine,cd account,consumer portfolio,john hancock retirement,insert link,benefis hospital,download podcast,top rated anime,add song,fios business,guidestone,ny postal code,how to invest in stock market,fundamental investors,vallagio,world venture,norton lilly,hancock pensions,rails,verizon.con,bluetooth how to,sppl,craigslist new jersey,credit card checks,craigslist honolulu,mi postal,3form,bigger font,team build,lfg.com,comcast.ney,city hr,dog detective,ada county,www.regions,john hancock pensions,cnnmoney,indiana fuel,.www.,chicago .com,bleu bistro,fcntx,baliy,juice des moines,movie graphic,what is apy,www.compass,fargo movies,52246,chat ave,e chords,catch him,trade accounts,mashen,sharp microwave drawer,rent a centers,cb.com,vtthx,warriors erin hunter,ctsh,radio podcasts,.xom,nationwide investments,american express.,the backyardigans,comcast. net,rising roll,trrdx,process.com,success metrics,"pleasant hill, ia",married in ohio,ruby date,pizza ria,aspirus hospital,vzw,metro cell phones,money market savings account,get code,itil exam,denver.co,ibt,top hip hop song,ameriprise,business podcast,famous burgers
2004-01-01,-2.201,-2.258,-2.657,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-1.850,-1.382,-2.172,-2.486,-2.105,-2.277,-2.156,-2.296,-2.326,-2.943,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-2.307,-1.893,-2.260,-2.161,-2.667,-2.365,-2.147,-2.016,-2.902,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-3.544,-2.159,-1.994,-1.521,-1.629,-1.727,-1.795,-2.045,-2.106,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.913,-2.228,-2.533,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.683,-2.393,-2.452,-1.927,-2.098,-2.216,-2.132,-3.047,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.257,-1.758,-2.176,-2.522,-2.394,-2.283,-2.277,-1.567,-2.250,-2.037,-1.681
2004-02-01,-2.159,-2.304,-2.811,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-2.500,-1.931,-2.172,-2.519,-2.105,-2.277,-2.156,-1.773,-2.326,-2.943,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-2.366,-1.893,-2.260,-2.161,-2.667,-2.365,-2.147,-2.016,-2.580,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-3.300,-2.159,-1.994,-1.604,-1.629,-1.727,-1.795,-2.045,-2.697,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.853,-2.228,-2.533,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.680,-2.393,-2.452,-1.927,-2.098,-2.216,-2.132,-3.047,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.278,-1.758,-2.176,-1.606,-2.394,-2.283,-2.128,-1.567,-2.250,-2.037,-1.681
2004-03-01,-2.215,-2.246,-2.352,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-1.841,-1.915,-2.172,-2.457,-2.105,-2.277,-2.156,-2.296,-2.326,-2.943,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-2.249,-1.893,-2.260,-2.161,-2.318,-2.365,-2.147,-2.016,-2.392,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-2.788,-2.159,-1.994,-1.551,-1.629,-1.727,-1.795,-2.045,-1.901,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.570,-2.228,-2.533,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.694,-2.393,-2.452,-1.927,-2.098,-2.216,-2.132,-3.047,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.221,-1.758,-2.176,-2.522,-2.394,-2.283,-2.000,-1.567,-2.250,-2.037,-1.681
2004-04-01,-2.112,-2.237,-2.577,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-2.456,-1.882,-2.172,-2.721,-2.105,-2.277,-2.156,-2.296,-2.326,-2.943,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-2.268,-1.893,-2.260,-2.161,-2.352,-2.365,-2.147,-2.016,-2.252,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-2.900,-1.428,-1.994,-1.505,-1.629,-1.727,-1.795,-2.045,-2.024,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.804,-2.228,-2.533,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.740,-2.393,-2.452,-1.927,-2.098,-2.216,-2.132,-3.047,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.225,-1.758,-2.176,-2.522,-2.394,-2.283,-2.059,-1.567,-2.250,-2.037,-1.681
2004-05-01,-2.107,-1.979,-2.509,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-2.579,-1.364,-2.172,-2.084,-2.105,-2.277,-2.156,-2.296,-2.326,-2.582,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-2.206,-1.893,-2.260,-2.161,-2.452,-2.365,-2.147,-2.016,-2.247,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-2.407,-2.159,-1.994,-1.622,-1.629,-1.727,-1.795,-2.045,-2.186,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.670,-2.228,-2.533,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.730,-2.393,-2.452,-1.927,-2.098,-2.216,-2.132,-1.992,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.219,-1.758,-2.176,-1.775,-2.394,-2.283,-1.923,-1.567,-2.250,-2.037,-1.681
2004-06-01,-2.111,-2.056,-2.272,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-1.996,-0.940,-2.172,-2.329,-2.105,-2.277,-2.156,-2.296,-2.326,-2.451,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-2.060,-1.893,-2.260,-2.161,-2.395,-2.365,-2.147,-2.016,-2.236,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-1.752,-2.159,-1.994,-1.580,-1.629,-1.727,-1.795,-2.045,-2.035,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.505,-2.228,-2.533,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.585,-2.393,-2.452,-1.927,-2.098,-2.216,-1.492,-1.392,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.169,-1.758,-2.176,-1.891,-2.394,-2.283,-1.878,-1.567,-2.250,-2.037,-1.681
2004-07-01,-2.128,-2.017,-2.364,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-2.197,-1.564,-2.172,-1.990,-2.105,-2.277,-2.156,-1.859,-2.326,-2.448,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-1.944,-1.893,-2.260,-2.161,-2.287,-2.365,-2.147,-2.016,-2.113,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-1.831,-2.159,-1.994,-1.680,-1.629,-1.727,-1.795,-2.045,-1.898,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.381,-2.228,-2.533,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.634,-2.393,-2.452,-1.927,-2.098,-2.216,-2.132,-1.484,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.111,-1.758,-2.176,-1.617,-2.394,-2.283,-2.051,-1.567,-2.250,-2.037,-1.681
2004-08-01,-2.002,-1.773,-1.861,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-0.765,-1.850,-1.723,-1.716,-1.845,-1.244,-2.172,-2.264,-2.105,-2.277,-2.156,-1.823,-2.326,-2.167,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-2.065,-1.893,-2.260,-2.161,-1.942,-2.365,-1.803,-2.016,-1.991,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-1.624,-2.159,-1.994,-1.516,-1.629,-1.727,-1.795,-2.045,-2.076,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.183,-1.849,-1.854,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.614,-2.393,-2.452,-1.927,-2.098,-2.216,-2.132,-1.542,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.004,-1.758,-2.176,-1.867,-2.394,-2.283,-1.917,-1.567,-2.250,-2.037,-1.681
2004-09-01,-2.037,-1.087,-2.070,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-2.187,-1.656,-2.172,-1.508,-2.105,-2.277,-2.156,-1.735,-2.326,-2.067,-2.217,-1.848,-0.430,-1.984,-2.089,-2.305,-2.030,-2.233,-1.893,-2.260,-2.161,-2.027,-2.365,-1.850,-2.016,-1.351,-2.132,-2.062,-2.314,-1.966,-1.480,-1.874,-2.084,-2.159,-1.994,-1.635,-1.629,-1.727,-1.795,-2.045,-1.968,-2.038,-1.998,-1.846,-2.293,-2.163,-2.239,-1.810,-2.086,-1.851,-1.880,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.616,-2.393,-2.452,-1.927,-2.098,-2.216,-2.132,-1.510,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.101,-1.758,-2.176,-1.707,-2.394,-2.283,-2.043,-1.567,-2.250,-2.037,-1.681
2004-10-01,-2.005,-1.846,-2.050,-1.933,-1.968,-2.026,-2.020,-2.016,-1.973,-2.191,-2.184,-2.387,-1.850,-1.723,-1.716,-1.929,-1.760,-2.172,-1.514,-2.105,-2.277,-2.156,-1.798,-2.326,-2.156,-2.217,-1.848,-2.564,-1.984,-2.089,-2.305,-2.030,-2.327,-1.893,-2.260,-2.161,-1.875,-2.365,-1.818,-2.016,-1.900,-2.132,-1.327,-2.314,-1.966,-1.480,-1.874,-0.626,-2.159,-1.994,-1.582,-1.629,-1.727,-1.795,-2.045,-1.900,-2.038,-1.998,-1.846,-2.293,-0.933,-2.239,-1.810,-1.746,-1.934,-2.533,-2.001,-2.159,-2.286,-1.957,-1.994,-1.899,-2.050,-1.577,-2.393,-2.452,-1.927,-2.098,-1.579,-1.514,-1.665,-1.537,-2.032,-2.031,-2.189,-2.199,-2.298,-1.660,-2.165,-2.138,-1.758,-2.176,-1.935,-2.394,-2.283,-2.011,-1.567,-2.250,-2.037,-1.681
